name,model_name,data_dir,teacher_model,student_model,task_name,output_dir,config_dir,cache_dir,lr_schedule,max_seq_length,do_eval,compute_taylor,do_lower_case,train_batch_size,eval_batch_size,patience,learning_rate,weight_decay,num_train_epochs,warmup_proportion,no_cuda,seed,gradient_accumulation_steps,prun_period_proportion,keep_heads,ffn_hidden_dim,emb_hidden_dim,keep_layers,aug_train,eval_step,pred_distill,repr_distill,data_url,temperature,depth_or_width,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_all_sentence-run-1,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-1,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-1,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-1,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.2,2,512,128,8,False,500,True,True,,1.0,width,8383.143543,0.7671018276762402,3.378868,0.6343825665859564,0.38472834067547723,0.47897623400365635,681,0.7737789203084833,0.8506829957607159,0.8104105900830154,2123,0.7430011198208286,0.8718791064388962,0.8022974607013301,1522,0.834983498349835,0.7131782945736435,0.7692892436335994,1419,0.7465365262662759,0.7051171843621832,0.7152433821054003,5745,0.7642187056894104,0.7671018276762402,0.7588168268070031,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-10,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-10,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-10,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-10,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.1,2,512,128,8,False,500,True,True,,1.0,width,7453.56973,0.7780678851174935,3.43281,0.6873239436619718,0.35829662261380324,0.471042471042471,681,0.7785867237687366,0.8563353744700894,0.8156123822341858,2123,0.7784395473496128,0.8587385019710907,0.816619806310528,1522,0.8001453488372093,0.7758985200845666,0.7878354203935599,1419,0.7611238909043827,0.7123172547848875,0.7227775199951861,5745,0.7730545624475094,0.7780678851174935,0.7681738584867162,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-2,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-2,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-2,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.2,2,512,128,8,False,500,True,True,,1.0,width,7432.495634999999,0.7778938207136641,3.593411,0.6276150627615062,0.44052863436123346,0.5176876617773943,681,0.7643417251341312,0.8723504474799811,0.8147822261328641,2123,0.8293998651382333,0.8081471747700394,0.8186356073211313,1522,0.7986774430565761,0.7660324171952079,0.7820143884892086,1419,0.7550085240226116,0.7217646684516155,0.7332799709301495,5745,0.7738508662555299,0.7778938207136641,0.7724925631609094,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-3,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-3,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-3,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-3,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.2,2,512,128,8,False,500,True,True,,1.0,width,7388.383585,0.7735422106179286,3.479675,0.6437768240343348,0.44052863436123346,0.5231037489102005,681,0.7798769771528998,0.8360810174281676,0.8070015912707433,2123,0.7932542161149282,0.8344283837056504,0.8133205251360871,1522,0.7838801711840229,0.7744890768146582,0.7791563275434243,1419,0.7501970471215464,0.7213817780774274,0.7306455482151138,5745,0.7682767135770301,0.7735422106179286,0.7681452914389691,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-4,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-4,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-4,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-4,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.2,2,512,128,8,False,500,True,True,,1.0,width,7379.018215,0.7754569190600522,3.902242,0.5871080139372822,0.4948604992657856,0.5370517928286852,681,0.7803292894280762,0.8483278379651437,0.8129090498758744,2123,0.8142112125162972,0.8206307490144547,0.8174083769633507,1522,0.8036117381489842,0.7526427061310782,0.7772925764192139,1419,0.74631506350766,0.7291154480941155,0.736165449021781,5745,0.7721521602837785,0.7754569190600522,0.7726043341131245,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-5,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-5,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-5,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-5,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.2,2,512,128,8,False,500,True,True,,1.0,width,7395.063356999999,0.7651871192341166,3.604608,0.6181015452538632,0.4111600587371512,0.4938271604938271,681,0.7466720451795079,0.8718794159208667,0.8044328552803129,2123,0.8064516129032258,0.804862023653088,0.8056560341992766,1522,0.80370942812983,0.7329105003523608,0.7666789531883523,1419,0.7437336578666067,0.7052029996658666,0.7176487507904422,5745,0.7613568211643019,0.7651871192341166,0.7586132579080891,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-6,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-6,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-6,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-6,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.1,2,512,128,8,False,500,True,True,,1.0,width,7140.564461,0.7765013054830288,3.40561,0.6674641148325359,0.40969162995594716,0.507734303912648,681,0.7855579868708972,0.8455016486104568,0.8144283121597096,2123,0.779322853688029,0.8469119579500657,0.8117128463476071,1522,0.7910662824207493,0.773784355179704,0.7823298895618098,1419,0.7558528094530529,0.7189723979240433,0.7290513379954436,5745,0.7712680777016702,0.7765013054830288,0.7694258369205993,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-7,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-7,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-7,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-7,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.1,2,512,128,8,False,500,True,True,,1.0,width,7276.905297,0.7820713664055701,3.341965,0.6038062283737025,0.5124816446402349,0.5544082605242256,681,0.7919788453063024,0.8464437117286858,0.8183060109289618,2123,0.7945205479452054,0.8383705650459922,0.8158567774936061,1522,0.8289473684210527,0.7547568710359408,0.7901143489487276,1419,0.7548132475115658,0.7380131981127134,0.7446713494738804,5745,0.7794777580278238,0.7820713664055701,0.7794120040248383,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-8,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-8,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-8,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-8,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.1,2,512,128,8,False,500,True,True,,1.0,width,7320.52743,0.7688424717145343,3.320729,0.5996055226824457,0.44640234948604995,0.5117845117845119,681,0.8266666666666667,0.7885068299576071,0.8071359691417551,2123,0.7650812064965197,0.866622864651774,0.8126925446703636,1522,0.7521826729348556,0.7892882311486963,0.7702888583218707,1419,0.735884017195122,0.7227050688110318,0.7254754709796254,5745,0.765038381803715,0.7688424717145343,0.7644965810200568,5745,57959341,57905168,14476292
multiemo_en_all_sentence-run-9,Rosita,../data/multiemo2,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-9,../models/bert-8layer/iter_depth_prun/multiemo_en_all_sentence-run-9,multiemo_en_all_sentence,../models/rosita-setting4/multiemo_en_all_sentence-run-9,configurations/config_setting4.json,,none,128,False,False,True,16,16,10,5e-05,0.01,4,0.0,False,42,1,0.1,2,512,128,8,False,500,True,True,,1.0,width,7269.639408999999,0.7688424717145343,3.450071,0.6024340770791075,0.43612334801762115,0.5059625212947189,681,0.8014842300556586,0.813942534149788,0.8076653423697124,2123,0.7793313069908815,0.8423127463863338,0.8095989895800442,1522,0.7649896623018608,0.7822410147991543,0.7735191637630662,1419,0.7370598191068771,0.7186549108382243,0.7241865042518855,5745,0.7630063023403826,0.7688424717145343,0.7639803924061307,5745,57959341,57905168,14476292
